image,damage (%),quality,the number of green pixel (%)
/mnt/Plant_Images/Partner/9091000000016.jpg,44.3,medium,67.94315637815583
/mnt/Plant_Images/Partner/9091000000017.jpg,44.3,high,87.7426951172626
/mnt/Plant_Images/Partner/9091000000018.jpg,44.3,high,87.97458960095476
/mnt/Plant_Images/Partner/9091000000019.jpg,44.3,high,93.32822462113931
/mnt/Plant_Images/Partner/9091000000020.jpg,44.3,high,66.9318140859285
/mnt/Plant_Images/Partner/9091000000021.jpg,44.800000000000004,high,66.98128674468154
/mnt/Plant_Images/Partner/9091000000022.jpg,44.800000000000004,high,84.14217939013841
/mnt/Plant_Images/Partner/9091000000023.jpg,44.800000000000004,high,89.26343183310907
/mnt/Plant_Images/Partner/9091000000024.jpg,44.800000000000004,high,79.00499507401
/mnt/Plant_Images/Partner/9091000000025.jpg,44.800000000000004,high,82.50288600938741
/mnt/Plant_Images/Partner/9095000000163.jpg,19.0,high,94.69577506247597
/mnt/Plant_Images/Partner/9095000000164.jpg,19.0,high,95.3616848087274
/mnt/Plant_Images/Partner/9095000000165.jpg,19.0,high,92.51796434464309
/mnt/Plant_Images/Partner/9095000000166.jpg,19.0,high,93.08837045847751
/mnt/Plant_Images/Partner/9095000000167.jpg,19.0,high,87.23398903066129
/mnt/Plant_Images/Partner/9122000000012.jpg,10.6,high,80.7805916995066
/mnt/Plant_Images/Partner/9122000000013.jpg,10.6,high,89.12351169021531
/mnt/Plant_Images/Partner/9122000000014.jpg,10.6,high,87.75254459422658
/mnt/Plant_Images/Partner/9122000000015.jpg,10.6,high,83.29708926054082
/mnt/Plant_Images/Partner/9122000000016.jpg,10.6,high,83.74442071559017
/mnt/Plant_Images/Partner/9123000000099.jpg,49.7,medium,89.94477284377803
/mnt/Plant_Images/Partner/9123000000100.jpg,49.7,medium,96.58151812604126
/mnt/Plant_Images/Partner/9123000000101.jpg,28.199999999999996,medium,74.79667776015634
/mnt/Plant_Images/Partner/9123000000102.jpg,28.199999999999996,medium,90.58301144191336
/mnt/Plant_Images/Partner/9123000000103.jpg,55.400000000000006,high,94.48984965718313
/mnt/Plant_Images/Partner/9123000000104.jpg,55.400000000000006,high,84.63656806676919
/mnt/Plant_Images/Partner/9123000000105.jpg,47.8,high,95.96284081443035
/mnt/Plant_Images/Partner/9123000000106.jpg,47.8,high,97.88809442281816
/mnt/Plant_Images/Partner/9172000000004.jpg,45.300000000000004,high,55.54917279411765
/mnt/Plant_Images/Partner/9172000000006.jpg,57.3,high,97.0007654307638
/mnt/Plant_Images/Partner/9172000000010.jpg,53.0,high,97.84270172529797
/mnt/Plant_Images/Partner/9172000000011.jpg,34.1,high,95.78811584887222
/mnt/Plant_Images/Partner/9172000000014.jpg,30.3,high,95.68367635044214
/mnt/Plant_Images/Partner/9172000000015.jpg,36.3,high,89.39470396001538
/mnt/Plant_Images/Partner/9172000000016.jpg,39.0,high,95.0024229463027
